Positivas/image2_1 1 287 199 72 102
Positivas/image2_2 1 270 171 70 90
Positivas/image2_3 1 71 179 82 100
Positivas/image2_4 1 239 104 65 71
Positivas/image2_5 1 388 147 62 67
Positivas/image2_6 1 483 141 67 69
Positivas/image2_7 1 189 128 60 70
Positivas/image2_8 1 321 110 30 50
Positivas/image2_9 1 331 135 26 51
Positivas/image2_10 1 307 79 60 60
Positivas/image2_11 1 317 86 60 60
Positivas/image2_12 1 261 65 92 91
Positivas/image2_13 - 30 194 10 128
Positivas/image2_14 - 121 65 14 191
Positivas/image2_15 - 146 177 10 169
Positivas/image2_16 - 87 107 208 215
Positivas/image2_17 - 358 177 193 159
Positivas/image2_18 - 19 121 182 186
Positivas/image2_19 - 63 90 174 188
Positivas/image2_20 - 1 84 164 197
Positivas/image2_21 - 298 150 160 177
Positivas/image2_22 - 371 30 240 211
Positivas/image2_23 - 295 135 226 199
Positivas/image2_24 - 329 177 225 192
Positivas/image2_25 - 427 135 211 212
Positivas/image2_26 - 68 54 180 178
Positivas/image2_27 - 2 74 142 178
Positivas/image2_28 - 224 205 234 216
Positivas/image2_29 - 245 186 229 216
Positivas/image2_30 - 368 29 258 259
Positivas/image2_31 - 3 82 182 199
Positivas/image2_32 - 194 152 148 165
Positivas/image2_33 - 31 170 177 170
Positivas/image2_34 - 397 128 182 189
Positivas/image2_35 - 118 107 141 165
Positivas/image2_36 - 117 102 185 186
Positivas/image2_37 - 339 161 162 184
Positivas/image2_38 - 297 95 169 173
Positivas/image2_39 - 72 105 175 175
Positivas/image2_40 - 122 90 166 163
Positivas/image2_41 - 64 51 173 171
Positivas/image2_42 - 72 47 175 170
Positivas/image2_43 - 63 63 177 175
Positivas/image2_44 - 84 4 227 199
Positivas/image2_45 - 248 89 156 167
Positivas/image2_46 - 459 127 175 194
Positivas/image2_47 - 189 136 239 228
Positivas/image2_48 - 221 80 190 187
Positivas/image2_49 - 79 104 218 218
Positivas/image2_50 - 236 39 220 210
