x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
0,0,0.0092,0.0041,0.0046,0.0096,0.0064,0.0048,0.0005,0.0027
0,1,0.0094,0.0091,0.0049,0.0045,0.0059,0.0028,0.006,0.0087
0,2,0.0002,0.0097,0.0051,0.0045,0.005,0.0039,0.007,0.0085
0,3,0.0076,0.0026,0.0029,0.0011,0.0091,0.0069,0.0097,0.0084
0,4,0.0009,0.0044,0.008,0.0072,0.0092,0.0085,0,0.0087
0,5,0.0076,0.0048,0.0032,0.0036,0.0076,0.0092,0.0022,0.0076
0,6,0.0088,0.0073,0.0022,0.004,0.0011,0.0092,0.0026,0.0086
0,7,0.0018,0.0054,0.0097,0.001,0.0022,0.0095,0.0093,0.0031
0,8,0.0039,0.0074,0.0004,0.0032,0.0058,0.0005,0.0019,0.0035
0,9,0.0051,0.0051,0.0071,0.0028,0.0044,0.0091,0.0003,0.0034
0,10,0.0066,0.0025,0.0072,0.0075,0.0016,0.0096,0.0062,0.0032
0,11,0.0049,0.006,0.0041,0.0071,0.0055,0.0035,0.0002,0.0094
0,12,0.0008,0.0006,0.0025,0.0064,0.0009,0.0044,0.0001,0.006
0,13,0.0093,0.007,0.0086,0.0037,0.0063,0.0089,0.0069,0.0028
0,14,0.0013,0.0042,0.0004,0.003,0.0037,0.0065,0.0062,0.0087
0,15,0.0026,0.0004,0.0059,0.0079,0.0037,0.0061,0.0074,0.0043
0,16,0.0066,0.0001,0.0009,0.0073,0.0043,0.0008,0.0033,0.0038
0,17,0.0076,0.0018,0.0075,0.004,0.0009,0.0045,0.0066,0.002
0,18,0.0085,0.0069,0.005,0.0023,0.0035,0.0012,0.0009,0.0059
0,19,0.0014,0.0067,0.004,0.005,0.0027,0.0013,0.0093,0.0093
0,20,0.0014,0.0003,0.0066,0.0056,0.0009,0,0.0094,0.0086
0,21,0.0018,0.007,0.0027,0.0025,0.0014,0.0092,0.0046,0
0,22,0.006,0.0094,0.0021,0.0095,0.0007,0.0031,0.0053,0.002
0,23,0.0096,0.0091,0.007,0.0024,0.0006,0.0062,0.0019,0.0018
0,24,0.0066,0.0085,0.0074,0.0075,0.0083,0.0067,0.006,0
0,25,0.0038,0.0088,0.0026,0.005,0.0079,0.0072,0.005,0.004
0,26,0.0067,0.007,0.0034,0.0073,0,0.0087,0.0091,0.0096
0,27,0.0078,0.0062,0.0021,0.0084,0.0025,0.0038,0.0001,0.0089
0,28,0.0022,0.0074,0.0064,0.0006,0.0042,0.0025,0.0007,0.0079
0,29,0.0012,0.0033,0.003,0.0089,0.0004,0.0079,0.003,0.0069
1,0,0.005,0.0064,0.0041,0.005,0.0051,0.0033,0.0047,0.003
1,1,0.0093,0.0066,0.0013,0.0018,0.0006,0.0012,0.0008,0.0028
1,2,0.0084,0.007,0.0033,0.0028,0.0094,0.004,0.0006,0.0007
1,3,0.0071,0.0034,0.0097,0.0073,0.0014,0.0026,0.0043,0.0062
1,4,0.0089,0.0083,0.0011,0.0041,0.0017,0.0056,0.0069,0.001
1,5,0.0024,0.008,0.0028,0.003,0.0092,0.0034,0.0056,0.0078
1,6,0.0006,0.0089,0.0005,0.0098,0.0028,0.0009,0.0004,0
1,7,0.0043,0.0002,0.0071,0.0058,0.0027,0.0014,0.0019,0.0017
1,8,0.0097,0.0031,0.0056,0.0013,0.0087,0.0026,0.0023,0.001
1,9,0.0005,0.0051,0.0038,0.0097,0.0086,0.0095,0.0074,0.009
1,10,0.0083,0.0077,0.0087,0.0013,0.0086,0.0091,0.0011,0.0031
1,11,0.0092,0.0083,0.0087,0.002,0.0097,0.0007,0.0035,0.0095
1,12,0.0036,0.0091,0.0009,0.0023,0.0016,0.0033,0.0033,0.0021
1,13,0.0082,0.007,0.0017,0.0067,0.0066,0.0092,0.0056,0.0048
1,14,0.0068,0.0044,0.0061,0.0056,0.0037,0.0073,0.0087,0.003
1,15,0.0057,0.0075,0.0048,0.0053,0.008,0.0083,0.0049,0.0018
1,16,0.0073,0.0056,0.0039,0.0089,0.0087,0.0072,0.0009,0.0071
1,17,0.0041,0.0026,0.0037,0.0008,0.0017,0.0094,0.0055,0.0086
1,18,0.0037,0.0017,0.0041,0.0072,0.0088,0.0029,0.0001,0.0046
1,19,0.0003,0.0049,0,0.0081,0.0031,0.0047,0.0097,0.0005
1,20,0.0005,0.0037,0.0092,0.0092,0.0009,0.0002,0.0062,0.005
1,21,0.0027,0.0001,0.0057,0.0044,0.0093,0.0013,0.0029,0.0031
1,22,0.003,0.0068,0.0005,0.0018,0.0097,0.0006,0.0064,0.0098
1,23,0.0054,0.0063,0.0079,0.0085,0.0009,0.0077,0.0089,0.0014
1,24,0.0014,0.0082,0.0006,0.0023,0.0085,0.0068,0.0071,0.0011
1,25,0.0067,0.0029,0.0053,0.0059,0.004,0.0083,0.0091,0.0069
1,26,0.0052,0.0094,0.0087,0.0049,0.0098,0.005,0.0046,0.0053
1,27,0.0014,0.0026,0.0038,0.0024,0.0003,0.0028,0.0036,0.0015
1,28,0.0009,0.004,0.0038,0.0094,0.0008,0.0008,0.0004,0.0075
1,29,0.0038,0.0058,0.0036,0.0078,0.0042,0.0026,0.0046,0.0092
2,0,0.0019,0.0034,0.004,0.0018,0.0085,0.0087,0.007,0.0097
2,1,0.0012,0.0007,0.002,0.0013,0.0035,0.0057,0.0028,0.0042
2,2,0.0097,0.0064,0.0038,0.0006,0.0073,0.0042,0.008,0.001
2,3,0.0001,0.0015,0.0086,0.0041,0.0041,0.0034,0.0033,0.006
2,4,0.0066,0.0073,0.0076,0.0052,0.0059,0.0047,0.0051,0.007
2,5,0.0052,0.0071,0.0081,0.0087,0.0027,0.0009,0.0031,0.0026
2,6,0.0071,0.0067,0.003,0.0045,0.0008,0.0009,0.0053,0.0008
2,7,0.0024,0.0039,0.0047,0.0065,0.0071,0.0078,0.0024,0.0038
2,8,0.0051,0.0002,0.0089,0.0009,0.0047,0.0041,0.0077,0.0001
2,9,0.0011,0.006,0.0086,0.0039,0.0069,0.0016,0.0063,0.0041
2,10,0.0081,0.0091,0.0085,0.0088,0.0002,0.0037,0.0094,0.0026
2,11,0.0074,0.0042,0.009,0.0046,0.002,0.0015,0.0083,0.0071
2,12,0.0015,0.0073,0.008,0.0063,0.0013,0.0059,0.0062,0.0024
2,13,0.002,0.0049,0.0061,0.0087,0.0064,0.0025,0.0027,0.0046
2,14,0.0016,0.0011,0.0035,0.0018,0.0047,0.003,0.0042,0.0022
2,15,0.0071,0.0031,0.0067,0.0091,0.0047,0.0051,0.0063,0.006
2,16,0.0023,0.0042,0.0022,0.0034,0.0002,0.0084,0.0058,0.002
2,17,0.0033,0.0019,0.0006,0.0097,0.0042,0.0032,0.0042,0.0058
2,18,0.0043,0.0078,0.0074,0.0088,0.0007,0.0018,0.0012,0.0078
